species,process,initial_charge,final_charge,charge_state,degree,n_features,ne_min,ne_max,Te_min,Te_max,Ti_min,Ti_max,n0_by_ne,intercept,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,r2_score,mae_percent,max_error_percent
Ar,charge_exchange,0,0,0,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,4.768898291631017,0.0,0.9997059906569744,-7.545959983275276e-09,0.49960914688629693,-3.6329085939876134e-08,-1.8352543467223431e-07,1.587654249806372e-07,2.2834712616021486e-07,1.0666379024007907e-09,1.4046125461630678e-07,0.9999999999839876,5.1179225922276794e-06,1.3001315315840527e-05
Ar,charge_exchange,1,1,1,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.091000265383959,0.0,0.9997059914912511,-7.980911488955838e-08,0.49960899446243634,1.4378777883528228e-07,-6.500549181495765e-08,-5.322433682452723e-08,1.1067640642425876e-07,-2.102465974915134e-08,1.8831130632556336e-10,0.9999999999843026,5.062685409041832e-06,1.2556867222893316e-05
Ar,charge_exchange,2,2,2,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.279417988640596,0.0,0.9997059705757891,-1.1106923644463084e-08,0.49960856762739336,-2.418803258266227e-08,-1.1947497357846684e-07,5.73985269733027e-07,2.4145840429588256e-07,1.2800936262066461e-08,1.4980881842026965e-07,0.9999999999853324,4.838416244032004e-06,1.2032752155072512e-05
Ar,charge_exchange,3,3,3,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.413102359010456,0.0,0.9997060548981539,-4.0051303629728525e-09,0.49961031522207233,6.025163266000597e-08,1.5679073453949594e-07,1.9269456126849577e-07,-2.3823125923979637e-07,-1.580005946418606e-07,-1.4156570480186669e-07,0.9999999999843507,5.0999063386370696e-06,1.1849162351294473e-05
Ar,charge_exchange,4,4,4,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.516796090116242,0.0,0.9997060847338993,6.381881301047285e-08,0.4996100549402019,4.215629696051645e-08,-2.3275577271829336e-09,6.221216363237015e-07,3.146591651882601e-08,1.1661107480470008e-07,-1.0226140798217247e-07,0.9999999999847506,5.0296163458642595e-06,1.1082251307751632e-05
Ar,charge_exchange,5,5,5,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.601519676041255,0.0,0.9997059509542403,-8.930939830239233e-08,0.49960810571983866,-6.179907189012057e-09,-1.015384529210983e-07,-1.721613182540456e-07,1.3783363643428998e-07,-5.3980893916809034e-08,5.77432849265726e-09,0.9999999999859466,4.694031095927192e-06,1.2130361001976648e-05
Ar,charge_exchange,6,6,6,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.6731535328496285,0.0,0.9997059964763549,5.9161947446852804e-08,0.4996114515740475,-4.8130343634770165e-08,7.799826095888727e-08,6.938397613469884e-07,-2.7049543819355975e-07,-3.2677522291917884e-08,1.1757318064742328e-07,0.9999999999867866,4.623613276829819e-06,1.58117077150343e-05
Ar,charge_exchange,7,7,7,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.735204361900011,0.0,0.9997061427379429,3.655921390997361e-08,0.49961192419113826,-9.284724399620042e-08,1.3431697756072372e-08,-6.374127870664785e-07,-1.1680385779772434e-07,1.4827247679046687e-07,8.584052420355703e-08,0.9999999999872623,4.472219862830719e-06,1.1573452769444225e-05
Ar,charge_exchange,8,8,8,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.789937988640595,0.0,0.9997059705757894,-1.1106923635650356e-08,0.49960856762739336,-2.4188032601983353e-08,-1.1947497357861375e-07,5.739852696414185e-07,2.414584043237074e-07,1.2800936216744344e-08,1.4980881839584183e-07,0.9999999999853324,4.838416243943632e-06,1.2032752155031393e-05
Ar,charge_exchange,9,9,9,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.8388982916310175,0.0,0.9997059906569746,-7.54595999135902e-09,0.49960914688629715,-3.632908586667554e-08,-1.835254346715073e-07,1.5876542486056444e-07,2.2834712614442312e-07,1.0666379691437973e-09,1.4046125464055927e-07,0.9999999999839876,5.117922592338125e-06,1.3001315313986468e-05
Ar,charge_exchange,10,10,10,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.883188291631017,0.0,0.9997059906569746,-7.54595996881042e-09,0.49960914688629704,-3.632908589540155e-08,-1.835254346797476e-07,1.587654248799612e-07,2.2834712615097267e-07,1.0666378275482309e-09,1.4046125460176468e-07,0.9999999999839876,5.11792259241718e-06,1.3001315320009472e-05
Ar,charge_exchange,11,11,11,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.923622359010456,0.0,0.9997060548981537,-4.00513036403637e-09,0.4996103152220723,6.025163260346991e-08,1.5679073453857804e-07,1.9269456101552473e-07,-2.3823125920330924e-07,-1.5800059474122813e-07,-1.4156570476385492e-07,0.9999999999843507,5.0999063386637325e-06,1.1849162351321248e-05
Ar,charge_exchange,12,12,12,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.960817378168445,0.0,0.9997060462389663,4.872148606128521e-08,0.4996096091151443,-6.050641549728572e-09,-5.8592240284575505e-08,1.2482058841312152e-07,2.2266561560683746e-07,-1.4959774966130515e-07,1.4881023038180571e-08,0.9999999999838932,5.194048504190046e-06,1.1763984147222342e-05
Ar,charge_exchange,13,13,13,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,5.995254864778208,0.0,0.9997061161483607,6.950630906660927e-09,0.49961124201424906,-1.0439276484401086e-07,-6.663613523892213e-09,1.8838391355034873e-07,-8.308885833647527e-08,1.6773377164654623e-07,1.4301915646065477e-07,0.9999999999865443,4.662998724980066e-06,1.3909816276122338e-05
Ar,charge_exchange,14,14,14,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,6.027316090116242,0.0,0.9997060847338993,6.38188129850982e-08,0.49961005494020194,4.215629689290655e-08,-2.3275577623217667e-09,6.221216365073933e-07,3.146591653819085e-08,1.1661107488249328e-07,-1.0226140800071961e-07,0.9999999999847506,5.029616346052116e-06,1.1082251307596076e-05
Ar,charge_exchange,15,15,15,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,6.0573062830529905,0.0,0.999705990722914,2.5730896462156532e-08,0.4996103650036912,-2.7299302941077773e-08,-2.8531993993489802e-08,-1.4727722166405184e-07,1.8412872497081403e-07,5.8443564173994395e-08,-1.2593942359785414e-07,0.9999999999841246,5.135744052481754e-06,1.1764309948261297e-05
Ar,charge_exchange,16,16,16,2,3,12.000023269510733,13.99943534657226,1.0000614376907648,2.999115406500877,1.000482009370269,2.9989213621193462,,6.085478803503253,0.0,0.9997059928271756,3.038768357665391e-08,0.49960822182761216,-9.93120676189587e-08,-1.8226128230687811e-07,2.3608136129942476e-07,3.392836451177482e-07,3.4305497705837516e-08,8.51825001379374e-08,0.9999999999857131,4.735185881977507e-06,1.3125145260273732e-05
